#Te   kappa_tot   kappa_e_ph  kappa_e_e mu Ce
#[K]  [W/(K*m)]   [W/(K*m)]   [W/(K*m)]   [eV]  [J/(m^3*K)]
   1.0600000000000000E+04   1.1337162583705717E+03   1.5309905724854850E+03   4.3690438615591011E+03   1.6779366529650203E-03   8.4652009804704308E+05
   1.0700000000000000E+04   1.1345786813209422E+03   1.5392205916291177E+03   4.3158328997176059E+03   9.1137294826818796E-04   8.4804592189683020E+05
   1.0800000000000000E+04   1.1350643470953105E+03   1.5475234205386305E+03   4.2586980722337412E+03   1.4646325367872237E-04   8.4957897625652363E+05
   1.0900000000000000E+04   1.1366767476567666E+03   1.5559004186660095E+03   4.2186449617919807E+03  -6.1753199020855647E-04   8.5112184255094919E+05
   1.1000000000000000E+04   1.1379541917738156E+03   1.5643526194779088E+03   4.1748784823911446E+03  -1.3813275769980191E-03   8.5267689789668878E+05
   1.1100000000000000E+04   1.1409759840957352E+03   1.5728807488540499E+03   4.1551270250357629E+03  -2.1456142605903957E-03   8.5424632211097237E+05
   1.1200000000000000E+04   1.1426804144535847E+03   1.5814852429877128E+03   4.1183052131544118E+03  -2.9110594812799527E-03   8.5583210679633671E+05
   1.1300000000000000E+04   1.1409829594262519E+03   1.5901662657759275E+03   4.0392253813911570E+03  -3.6783080722274019E-03   8.5743606534600537E+05
   1.1400000000000000E+04   1.1401791373041433E+03   1.5989237257018863E+03   3.9740184849990328E+03  -4.4479828972479804E-03   8.5905983826902974E+05
   1.1500000000000000E+04   1.1387470015655874E+03   1.6077572921661738E+03   3.9036004803966848E+03  -5.2206855082237245E-03   8.6070490412215062E+05
   1.1600000000000000E+04   1.1402117112477056E+03   1.6166664112903377E+03   3.8688714271663284E+03  -5.9969967338309336E-03   8.6237258684905595E+05
   1.1700000000000000E+04   1.1417338533991017E+03   1.6256503211661743E+03   3.8354966798896694E+03  -6.7774772584554633E-03   8.6406406086671457E+05
   1.1800000000000000E+04   1.1413567185422269E+03   1.6347080665441827E+03   3.7818585925865959E+03  -7.5626682011080467E-03   8.6578036204325792E+05
   1.1900000000000000E+04   1.1414032318484590E+03   1.6438385129787168E+03   3.7343766686329509E+03  -8.3530916452789847E-03   8.6752239263078058E+05
   1.2000000000000000E+04   1.1420720969073400E+03   1.6530403604135759E+03   3.6947329326001454E+03  -9.1492511687928327E-03   8.6929092992983700E+05
   1.2100000000000000E+04   1.1410298556000614E+03   1.6623121562223805E+03   3.6386192228515474E+03  -9.9516323442267341E-03   8.7108663094673678E+05
   1.2200000000000000E+04   1.1429412057800409E+03   1.6716523077164463E+03   3.6136943166671658E+03  -1.0760703190268100E-02   8.7291004063035967E+05
   1.2300000000000000E+04   1.1453095362847464E+03   1.6810590940828940E+03   3.5937183400097842E+03  -1.1576914691757213E-02   8.7476159785918240E+05
   1.2400000000000000E+04   1.1449069644373296E+03   1.6905306778268132E+03   3.5473171329290381E+03  -1.2400701211796403E-02   8.7664164117239858E+05
   1.2500000000000000E+04   1.1469534101466195E+03   1.7000651156754934E+03   3.5253195012947058E+03  -1.3232480933295611E-02   8.7855041423883731E+05
   1.2600000000000000E+04   1.1453751313877008E+03   1.7096603689655810E+03   3.4702351564921728E+03  -1.4072656300518025E-02   8.8048807306638372E+05
   1.2700000000000000E+04   1.1434273986283158E+03   1.7193143135501361E+03   3.4137102997624870E+03  -1.4921614391940711E-02   8.8245468909670040E+05
   1.2800000000000000E+04   1.1427881652540682E+03   1.7290247491852926E+03   3.3704976368928615E+03  -1.5779727361800278E-02   8.8445025771034253E+05
   1.2900000000000000E+04   1.1430924559126372E+03   1.7387894084794127E+03   3.3365909405601856E+03  -1.6647352763892866E-02   8.8647469878214737E+05
   1.3000000000000000E+04   1.1445971716894235E+03   1.7486059653317818E+03   3.3136097742032161E+03  -1.7524833983307703E-02   8.8852786551550252E+05
   1.3100000000000000E+04                      NaN   1.7584720429635795E+03                      NaN  -1.8412500540602866E-02   8.9060954658174969E+05
   1.3200000000000000E+04   1.1430899334215012E+03   1.7683852214647291E+03   3.2327500042315037E+03  -1.9310668503914521E-02   8.9271947226381127E+05
   1.3300000000000000E+04   1.1452640261970455E+03   1.7783430449565951E+03   3.2170902135046972E+03  -2.0219640783320659E-02   8.9485731641756895E+05
   1.3400000000000000E+04   1.1430609177558015E+03   1.7883430283205507E+03   3.1678935302037321E+03  -2.1139707474265391E-02   8.9702270382975694E+05
   1.3500000000000000E+04   1.1440750215083142E+03   1.7983826635326295E+03   3.1445218614530750E+03  -2.2071146181359077E-02   8.9921520944025740E+05
   1.3600000000000000E+04   1.1435428730967603E+03   1.8084594256106741E+03   3.1102412469998958E+03  -2.3014222342178394E-02   9.0143436616908386E+05
   1.3700000000000000E+04   1.1445176468084089E+03   1.8185707781917399E+03   3.0878668916484444E+03  -2.3969189541254276E-02   9.0367966770277359E+05
   1.3800000000000000E+04   1.1444372150525171E+03   1.8287141787727064E+03   3.0584816862802977E+03  -2.4936289765187230E-02   9.0595056891082088E+05
   1.3900000000000000E+04   1.1435946014031933E+03   1.8388870835747171E+03   3.0245420384788918E+03  -2.5915753736259407E-02   9.0824649135116965E+05
   1.4000000000000000E+04   1.1411991698633390E+03   1.8490869520868137E+03   2.9809477543157204E+03  -2.6907801216610589E-02   9.1056682803787605E+05
   1.4100000000000000E+04   1.1423743093170883E+03   1.8593112513328952E+03   2.9626446651985702E+03  -2.7912641204480566E-02   9.1291094109472830E+05
   1.4200000000000000E+04   1.1432283860398211E+03   1.8695574597685982E+03   2.9426484972816556E+03  -2.8930472297257811E-02   9.1527817051979003E+05
   1.4300000000000000E+04   1.1419684647102890E+03   1.8798230709430943E+03   2.9093789591042364E+03  -2.9961482907346036E-02   9.1766783189303521E+05
   1.4400000000000000E+04   1.1433303593850867E+03   1.8901055968662984E+03   2.8937958878092541E+03  -3.1005851517279668E-02   9.2007922049048205E+05
   1.4500000000000000E+04   1.1419676034986835E+03   1.9004025710901733E+03   2.8614162881787106E+03  -3.2063746983899487E-02   9.2251161547763844E+05
   1.4600000000000000E+04   1.1390763894722693E+03   1.9107115515813580E+03   2.8205640727276236E+03  -3.3135328724783024E-02   9.2496427926226472E+05
   1.4700000000000000E+04   1.1386372081094901E+03   1.9210301233093328E+03   2.7957262058545898E+03  -3.4220747012608355E-02   9.2743646142229775E+05
   1.4800000000000000E+04   1.1355380344964651E+03   1.9313559006381645E+03   2.7558165965242529E+03  -3.5320143181208630E-02   9.2992739863798185E+05
   1.4900000000000000E+04   1.1356855350786041E+03   1.9416865294836214E+03   2.7359089138833410E+03  -3.6433649870875204E-02   9.3243631898888084E+05
   1.5000000000000000E+04   1.1346695138479570E+03   1.9520196892734280E+03   2.7098510509238677E+03  -3.7561391244224293E-02   9.3496244163451716E+05
   1.5100000000000000E+04   1.1359719693880238E+03   1.9623530946833368E+03   2.6975181806161186E+03  -3.8703483270748740E-02   9.3750498104248673E+05
   1.5200000000000000E+04   1.1337580338460193E+03   1.9726844972470055E+03   2.6659629831324955E+03  -3.9860033854375421E-02   9.4006314478231000E+05
   1.5300000000000000E+04                      NaN   1.9830116867317224E+03                      NaN  -4.1031143108204833E-02   9.4263613812172273E+05
   1.5400000000000000E+04   1.1309215335693755E+03   1.9933324923697423E+03   2.6139540739605632E+03  -4.2216903570377814E-02   9.4522316315716179E+05
   1.5500000000000000E+04   1.1298166836911994E+03   2.0036447839544978E+03   2.5906139942404411E+03  -4.3417400361069509E-02   9.4782342229240434E+05
